id,age_group,gender,self_pref_roast,A_pref,B_pref,C_pref,D_pref,fav_sample
WApVZe,25-34 years old,Non-binary,Light,5.0,3.0,3.0,4.0,Coffee A
Albeae,35-44 years old,Male,Italian,3.0,4.0,5.0,2.0,Coffee C
lNlkMX,35-44 years old,Female,Medium,4.0,2.0,3.0,5.0,Coffee D
OABMVa,35-44 years old,Male,Medium,4.0,3.0,5.0,2.0,Coffee C
XeBP2z,25-34 years old,Male,Light,5.0,3.0,3.0,4.0,Coffee A
eBxWpl,55-64 years old,Female,Medium,1.0,3.0,1.0,1.0,Coffee B
EPb7gB,18-24 years old,Male,Medium,5.0,3.0,3.0,4.0,Coffee A
RzBy2K,35-44 years old,Male,Dark,4.0,5.0,3.0,3.0,Coffee B
GrBAjZ,25-34 years old,Male,Dark,4.0,3.0,3.0,4.0,Coffee A
KMBKaD,35-44 years old,Male,Medium,5.0,3.0,3.0,5.0,Coffee C
ZdRrQV,35-44 years old,Female,Medium,3.0,4.0,5.0,1.0,Coffee C
1r2oRg,25-34 years old,Male,Medium,4.0,3.0,3.0,5.0,Coffee D
kYRBkZ,25-34 years old,Female,Medium,3.0,4.0,2.0,1.0,Coffee B
oAVLzb,18-24 years old,Male,Light,5.0,1.0,3.0,5.0,Coffee D
aBrqzZ,18-24 years old,Non-binary,Light,4.0,5.0,3.0,4.0,Coffee B
rlrMvX,35-44 years old,Male,Light,4.0,4.0,2.0,3.0,Coffee A
EPb76l,25-34 years old,Male,Medium,2.0,4.0,2.0,5.0,Coffee D
24xGDM,35-44 years old,Male,Medium,4.0,3.0,2.0,4.0,Coffee A
7d9rPa,35-44 years old,Male,Dark,4.0,2.0,4.0,3.0,Coffee B
DVv69R,25-34 years old,Male,Light,5.0,3.0,2.0,3.0,Coffee A
42NVdA,25-34 years old,Male,Medium,4.0,3.0,2.0,3.0,Coffee A
g5N6OP,35-44 years old,Male,Light,3.0,3.0,2.0,5.0,Coffee D
J2kvZR,25-34 years old,Male,Medium,3.0,4.0,5.0,2.0,Coffee C
RzBylj,45-54 years old,Female,Medium,3.0,5.0,3.0,1.0,Coffee B
qbE1zO,25-34 years old,Other (please specify),Light,5.0,2.0,2.0,5.0,Coffee B
jB9AEQ,25-34 years old,Male,Light,4.0,2.0,2.0,4.0,Coffee A
xdN5ov,18-24 years old,Female,Dark,2.0,3.0,4.0,5.0,Coffee D
9dJja5,25-34 years old,Male,Dark,2.0,4.0,3.0,1.0,Coffee B
EPb7N2,35-44 years old,,Light,4.0,2.0,5.0,3.0,Coffee C
kYRBQe,25-34 years old,Male,Light,5.0,3.0,3.0,4.0,Coffee A
24xGVD,35-44 years old,Female,Medium,2.0,2.0,5.0,4.0,Coffee C
VZ1O46,25-34 years old,Male,Light,4.0,3.0,3.0,4.0,Coffee A
PABJee,25-34 years old,Male,Dark,3.0,4.0,3.0,2.0,Coffee B
eBxWYQ,35-44 years old,Female,Light,3.0,2.0,4.0,1.0,Coffee C
qbE1NO,45-54 years old,Male,Medium,4.0,5.0,3.0,1.0,Coffee B
oAVLaP,35-44 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
LdMLgl,25-34 years old,Male,Light,4.0,2.0,3.0,3.0,Coffee A
ylq5zd,25-34 years old,Male,Light,3.0,2.0,3.0,5.0,Coffee D
NAB1EO,25-34 years old,Male,Light,4.0,2.0,1.0,5.0,Coffee C
7d9rj0,25-34 years old,Female,Medium,3.0,2.0,4.0,3.0,Coffee C
ZdRrKB,35-44 years old,Male,Light,5.0,3.0,2.0,4.0,Coffee A
xdN56d,25-34 years old,Male,Light,5.0,3.0,2.0,4.0,Coffee A
rlrMg2,35-44 years old,Male,Light,1.0,5.0,4.0,4.0,Coffee B
qbE1pg,35-44 years old,Female,Blonde,3.0,4.0,5.0,1.0,Coffee C
pLPpXJ,25-34 years old,Male,Light,5.0,1.0,1.0,4.0,Coffee A
xdN5vk,25-34 years old,Male,Light,3.0,5.0,4.0,1.0,Coffee B
vNx5a0,25-34 years old,Non-binary,Medium,4.0,3.0,2.0,3.0,Coffee A
LdML6J,35-44 years old,Male,Light,4.0,4.0,3.0,2.0,Coffee A
bl4QML,35-44 years old,,Light,4.0,,,,Coffee B
6dQEyJ,35-44 years old,Female,Medium,5.0,1.0,2.0,4.0,Coffee A
xdN5L5,25-34 years old,Male,Light,3.0,1.0,2.0,4.0,Coffee D
OABMra,25-34 years old,Male,Light,3.0,4.0,3.0,3.0,Coffee B
jB9AgQ,18-24 years old,Non-binary,Light,3.0,4.0,4.0,4.0,Coffee B
EPb7AB,25-34 years old,Female,Medium,4.0,3.0,2.0,1.0,Coffee A
GrBAQO,35-44 years old,Male,Light,5.0,3.0,2.0,4.0,Coffee A
lNlk9v,25-34 years old,Male,Light,3.0,2.0,4.0,5.0,Coffee D
eBxWox,35-44 years old,Female,Medium,1.0,3.0,4.0,1.0,Coffee C
VZ1OyM,18-24 years old,Male,Medium,2.0,4.0,3.0,4.0,Coffee B
KMBKNV,25-34 years old,Male,Medium,4.0,5.0,3.0,3.0,Coffee B
OABMyY,55-64 years old,Male,Light,3.0,5.0,4.0,2.0,Coffee D
WApVjR,18-24 years old,Male,Medium,1.0,2.0,5.0,4.0,Coffee D
OABMKR,25-34 years old,Male,Medium,1.0,5.0,3.0,4.0,Coffee B
YZzlyW,25-34 years old,,Nordic,4.0,3.0,2.0,5.0,Coffee D
BGbWVK,25-34 years old,,Dark,4.0,3.0,5.0,1.0,Coffee C
XeBPyL,25-34 years old,Male,Light,2.0,4.0,3.0,4.0,Coffee B
VZ1OBg,25-34 years old,Male,Medium,3.0,2.0,4.0,5.0,Coffee D
1r2ox1,25-34 years old,Female,Medium,2.0,4.0,5.0,1.0,Coffee C
LdMLVl,25-34 years old,Female,Light,4.0,3.0,5.0,5.0,Coffee B
oAVLQO,25-34 years old,Male,Light,4.0,2.0,5.0,5.0,Coffee C
pLPpNJ,18-24 years old,Male,Light,4.0,2.0,1.0,5.0,Coffee D
eBxWPk,25-34 years old,Male,Light,4.0,3.0,4.0,1.0,Coffee C
VZ1Oxj,18-24 years old,Male,Medium,2.0,4.0,5.0,3.0,Coffee C
zKQ54R,25-34 years old,Male,Light,3.0,2.0,2.0,4.0,Coffee D
Albeyl,35-44 years old,Male,Medium,2.0,5.0,4.0,3.0,Coffee B
eBxWyl,25-34 years old,Male,Light,5.0,3.0,2.0,4.0,Coffee A
rlrM1R,35-44 years old,Male,Dark,1.0,4.0,3.0,1.0,Coffee B
24xGZD,18-24 years old,Male,Nordic,3.0,2.0,1.0,4.0,Coffee D
VZ1Oyy,25-34 years old,Male,Light,2.0,3.0,4.0,3.0,Coffee C
XeBPdg,35-44 years old,Male,Light,4.0,3.0,3.0,4.0,Coffee D
rlrMRN,45-54 years old,Male,Medium,2.0,4.0,5.0,1.0,Coffee C
6dQEGk,45-54 years old,Male,Medium,3.0,3.0,4.0,3.0,Coffee C
EPb7YB,25-34 years old,Female,Light,1.0,4.0,3.0,2.0,Coffee B
7d9rEa,55-64 years old,Female,Medium,3.0,4.0,4.0,1.0,Coffee C
ylq5Rx,25-34 years old,Male,Light,5.0,2.0,2.0,4.0,Coffee A
MAdpgk,55-64 years old,Male,Medium,5.0,4.0,3.0,4.0,Coffee A
g5N6vJ,35-44 years old,Male,Medium,4.0,3.0,3.0,5.0,Coffee D
0EjRlB,35-44 years old,Male,Light,2.0,1.0,5.0,1.0,Coffee C
9dJjPQ,25-34 years old,Male,Light,4.0,1.0,2.0,5.0,Coffee D
AlbeND,18-24 years old,Male,Light,3.0,2.0,2.0,5.0,Coffee D
OABMkM,25-34 years old,Female,Light,4.0,2.0,3.0,5.0,Coffee D
zKQ5dk,55-64 years old,Female,Medium,3.0,5.0,2.0,1.0,Coffee B
7d9rgR,35-44 years old,Male,Light,5.0,5.0,5.0,5.0,Coffee D
vNx5pl,18-24 years old,Male,Light,3.0,2.0,4.0,5.0,Coffee D
EPb7e4,18-24 years old,Male,Medium,2.0,4.0,4.0,4.0,Coffee A
DVv6PZ,25-34 years old,Male,Light,2.0,3.0,5.0,2.0,Coffee C
MAdpPk,18-24 years old,Male,Medium,4.0,5.0,4.0,5.0,Coffee B
ylq5rg,18-24 years old,Male,Medium,2.0,4.0,4.0,4.0,Coffee C
24xG7M,25-34 years old,Female,Light,5.0,2.0,3.0,5.0,Coffee A
bl4Qz6,25-34 years old,Non-binary,Medium,4.0,3.0,5.0,2.0,Coffee C
6dQE9Y,35-44 years old,Male,Light,4.0,3.0,3.0,1.0,Coffee A
eBxWvQ,35-44 years old,Male,Light,5.0,3.0,2.0,4.0,Coffee A
ZdRrXo,25-34 years old,Male,Light,3.0,3.0,5.0,3.0,Coffee A
24xGy9,35-44 years old,Female,Medium,5.0,2.0,1.0,3.0,Coffee A
xdN57r,35-44 years old,Male,Medium,2.0,4.0,3.0,3.0,Coffee B
lNlkXk,35-44 years old,Male,Medium,2.0,4.0,3.0,5.0,Coffee D
9dJjyV,35-44 years old,Male,Light,3.0,2.0,4.0,5.0,Coffee D
RzBy19,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
J2kvgK,25-34 years old,Male,Light,3.0,3.0,2.0,4.0,Coffee D
J2kvbo,25-34 years old,Male,Light,4.0,3.0,2.0,3.0,Coffee A
DVv6ZE,25-34 years old,Non-binary,Light,4.0,1.0,2.0,5.0,Coffee D
aBrq1B,18-24 years old,,Medium,4.0,3.0,5.0,4.0,Coffee C
XeBPvY,25-34 years old,Female,Medium,2.0,3.0,2.0,1.0,Coffee B
ZdRrAo,25-34 years old,Male,Light,3.0,3.0,2.0,5.0,Coffee D
NAB1O0,25-34 years old,Male,Light,5.0,3.0,2.0,5.0,Coffee D
J2kvBr,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
ylq5px,25-34 years old,Female,Dark,4.0,3.0,5.0,1.0,Coffee C
KMBKRg,18-24 years old,Male,Medium,3.0,2.0,4.0,2.0,Coffee C
OABMyg,25-34 years old,Other (please specify),Nordic,4.0,2.0,2.0,4.0,Coffee D
oAVLax,35-44 years old,Male,Light,5.0,2.0,3.0,4.0,Coffee A
VZ1OXg,25-34 years old,Female,Light,3.0,2.0,4.0,5.0,Coffee D
WApVdv,25-34 years old,Male,Light,5.0,3.0,2.0,5.0,Coffee D
aBrqXB,25-34 years old,Female,Light,1.0,2.0,4.0,3.0,Coffee C
EPb7rr,18-24 years old,Female,Medium,4.0,2.0,2.0,3.0,Coffee A
NAB1gO,25-34 years old,Male,Light,5.0,3.0,2.0,4.0,Coffee A
XeBPkY,18-24 years old,Male,Medium,1.0,4.0,5.0,2.0,Coffee C
vNx5Wg,35-44 years old,,Light,4.0,3.0,2.0,5.0,Coffee D
LdMLOy,35-44 years old,Female,Dark,5.0,1.0,3.0,4.0,Coffee A
aBrqa2,25-34 years old,Male,Medium,2.0,3.0,3.0,5.0,Coffee D
WApVXN,18-24 years old,Male,Medium,4.0,2.0,3.0,4.0,Coffee D
OABMeg,35-44 years old,Male,Light,5.0,2.0,3.0,4.0,Coffee A
NAB1xl,35-44 years old,Male,Light,1.0,4.0,3.0,5.0,Coffee D
dY2ekV,55-64 years old,Female,Dark,1.0,3.0,4.0,1.0,Coffee D
LdMLBv,25-34 years old,Female,Medium,1.0,3.0,4.0,4.0,Coffee C
Albe0e,25-34 years old,Female,Medium,3.0,4.0,5.0,1.0,Coffee C
eBxW8e,35-44 years old,Male,Light,4.0,4.0,3.0,5.0,Coffee D
8dp4V5,35-44 years old,Male,Light,5.0,2.0,1.0,5.0,Coffee D
1r2ozp,18-24 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
DVv6al,35-44 years old,Male,Medium,3.0,2.0,2.0,4.0,Coffee D
QABl4Y,18-24 years old,Female,Light,5.0,3.0,2.0,3.0,Coffee A
DVv6EZ,45-54 years old,Female,Light,4.0,1.0,2.0,5.0,Coffee D
J2kvxR,25-34 years old,Male,Light,1.0,5.0,2.0,3.0,Coffee B
eBxWGe,18-24 years old,Male,Light,3.0,3.0,4.0,5.0,Coffee D
KMBKA8,35-44 years old,Male,Light,5.0,4.0,2.0,5.0,Coffee C
DVv6Wl,25-34 years old,Male,Light,5.0,2.0,1.0,5.0,Coffee A
QABlyG,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
pLPp58,35-44 years old,Male,Light,3.0,4.0,3.0,5.0,Coffee D
VZ1Oqj,25-34 years old,Female,Light,4.0,3.0,2.0,5.0,Coffee D
XeBPNP,35-44 years old,Female,Blonde,2.0,3.0,4.0,2.0,Coffee C
jB9Aq4,25-34 years old,Male,Light,4.0,3.0,3.0,5.0,Coffee D
qbE1M9,25-34 years old,Female,Medium,2.0,4.0,3.0,2.0,Coffee B
5dqPON,18-24 years old,Male,Light,3.0,2.0,3.0,5.0,Coffee D
rlrMW2,25-34 years old,Male,Light,4.0,1.0,2.0,5.0,Coffee D
dY2ezr,25-34 years old,Male,Medium,4.0,4.0,2.0,5.0,Coffee D
oAVLgb,55-64 years old,Male,Light,4.0,2.0,3.0,1.0,Coffee A
GrBAaZ,25-34 years old,Male,Light,5.0,2.0,4.0,5.0,Coffee A
7d9rOZ,35-44 years old,Male,Medium,1.0,3.0,4.0,3.0,Coffee C
kYRB1e,35-44 years old,Male,Light,4.0,5.0,4.0,1.0,Coffee B
24xGzj,35-44 years old,Male,Light,4.0,3.0,1.0,5.0,Coffee D
XeBPQP,25-34 years old,Male,Light,5.0,1.0,4.0,2.0,Coffee A
9dJj4E,25-34 years old,Female,Nordic,5.0,2.0,2.0,3.0,Coffee A
MAdpqA,45-54 years old,Female,Light,3.0,4.0,2.0,5.0,Coffee D
AlbeOz,18-24 years old,Male,Medium,2.0,5.0,4.0,3.0,Coffee A
NAB1Qj,25-34 years old,Male,Medium,2.0,5.0,4.0,2.0,Coffee B
GrBA5O,18-24 years old,Male,Medium,2.0,3.0,4.0,1.0,Coffee D
24xGYj,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
kYRBXR,25-34 years old,Male,Light,1.0,1.0,2.0,2.0,Coffee D
WApV6N,25-34 years old,Male,Light,3.0,4.0,4.0,5.0,Coffee D
dY2eXo,55-64 years old,Male,Light,4.0,3.0,5.0,5.0,Coffee D
QABlp7,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
ylq5GX,35-44 years old,Male,Medium,1.0,3.0,4.0,2.0,Coffee C
EPb7Al,35-44 years old,Female,Medium,5.0,2.0,3.0,3.0,Coffee A
42NVEA,35-44 years old,Male,Medium,3.0,5.0,4.0,1.0,Coffee B
aBrqgb,35-44 years old,Male,Dark,2.0,3.0,5.0,4.0,Coffee C
42NVYX,55-64 years old,Male,Dark,1.0,3.0,5.0,1.0,Coffee C
oAVL1x,25-34 years old,Male,Nordic,2.0,4.0,3.0,5.0,Coffee D
KMBKZV,18-24 years old,Male,Light,4.0,4.0,2.0,3.0,Coffee B
1r2oyl,25-34 years old,Male,Light,5.0,4.0,2.0,3.0,Coffee A
42NVEr,35-44 years old,Male,Medium,4.0,2.0,4.0,4.0,Coffee D
g5N614,25-34 years old,Female,Medium,2.0,5.0,2.0,1.0,Coffee B
0EjRyj,35-44 years old,Male,Dark,3.0,4.0,5.0,1.0,Coffee C
6dQEzJ,25-34 years old,Male,Light,2.0,5.0,3.0,4.0,Coffee B
jB9Ara,25-34 years old,Male,Dark,1.0,3.0,2.0,4.0,Coffee D
dY2e4K,25-34 years old,Non-binary,Dark,2.0,3.0,4.0,3.0,Coffee C
zKQ5vM,18-24 years old,Male,Light,3.0,1.0,2.0,4.0,Coffee D
YZzlgW,25-34 years old,Male,Medium,3.0,4.0,1.0,5.0,Coffee D
pLPpZ1,18-24 years old,Male,Medium,2.0,5.0,5.0,3.0,Coffee C
J2kvro,25-34 years old,Male,Light,5.0,2.0,2.0,5.0,Coffee A
xdN5B5,>65 years old,Female,Medium,3.0,3.0,5.0,2.0,Coffee C
rlrMp2,25-34 years old,Male,Light,5.0,4.0,2.0,4.0,Coffee A
QABlWG,25-34 years old,Male,Light,5.0,3.0,1.0,5.0,Coffee D
vNx5d4,25-34 years old,Male,Light,4.0,3.0,2.0,4.0,Coffee D
jB9AzQ,25-34 years old,Non-binary,Medium,3.0,4.0,3.0,1.0,Coffee B
MAdp2M,25-34 years old,Female,Light,1.0,3.0,4.0,3.0,Coffee C
7d9rYZ,25-34 years old,Male,Light,5.0,3.0,2.0,4.0,Coffee A
g5N6XO,25-34 years old,Male,Light,5.0,5.0,3.0,3.0,Coffee A
PABJr1,25-34 years old,Male,Medium,4.0,3.0,5.0,5.0,Coffee D
RzByg4,25-34 years old,Male,Light,5.0,2.0,3.0,4.0,Coffee A
MAdpGl,25-34 years old,Female,Light,3.0,4.0,3.0,2.0,Coffee B
g5N6rD,25-34 years old,Female,Blonde,4.0,4.0,3.0,2.0,Coffee B
RzByaj,25-34 years old,Male,Medium,2.0,4.0,4.0,2.0,Coffee B
PABJLV,25-34 years old,Male,Medium,5.0,4.0,2.0,4.0,Coffee A
GrBA4k,25-34 years old,Male,Medium,3.0,5.0,4.0,2.0,Coffee B
zKQ5o0,25-34 years old,Male,Light,4.0,2.0,1.0,5.0,Coffee D
GrBAOp,25-34 years old,Male,Medium,2.0,5.0,4.0,1.0,Coffee B
qbE1QY,25-34 years old,Male,Light,2.0,2.0,3.0,5.0,Coffee D
9dJj0p,25-34 years old,Male,Medium,2.0,5.0,3.0,3.0,Coffee B
EPb77N,25-34 years old,Female,Light,1.0,3.0,2.0,1.0,Coffee D
YZzlbB,35-44 years old,,Light,5.0,3.0,2.0,5.0,Coffee D
Albeek,25-34 years old,Non-binary,Light,1.0,3.0,4.0,3.0,Coffee C
WApV7a,35-44 years old,Male,Light,3.0,3.0,4.0,3.0,Coffee C
kYRBPM,35-44 years old,,Light,4.0,3.0,2.0,3.0,Coffee A
GrBAAo,35-44 years old,Male,Nordic,4.0,2.0,2.0,4.0,Coffee D
rlrMMl,25-34 years old,Male,Light,4.0,3.0,4.0,4.0,Coffee A
VZ1Oag,25-34 years old,Male,Light,5.0,1.0,1.0,5.0,Coffee A
5dqPa6,35-44 years old,Male,Medium,4.0,3.0,2.0,5.0,Coffee D
J2kvj4,25-34 years old,Male,Light,4.0,2.0,2.0,5.0,Coffee D
XeBPAj,18-24 years old,Female,Blonde,4.0,2.0,4.0,2.0,Coffee C
24xGdL,35-44 years old,Male,Light,2.0,4.0,5.0,3.0,Coffee C
qbE117,25-34 years old,Male,Medium,4.0,1.0,3.0,5.0,Coffee D
42NVVk,35-44 years old,Male,Light,5.0,2.0,2.0,4.0,Coffee A
5dqPYo,35-44 years old,Female,Light,4.0,2.0,3.0,5.0,Coffee D
J2kv4d,35-44 years old,Non-binary,Light,3.0,2.0,3.0,5.0,Coffee D
EPb7VX,18-24 years old,Male,Dark,2.0,4.0,3.0,4.0,Coffee D
LdMLxj,35-44 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
1r2o0Q,25-34 years old,Male,Medium,5.0,1.0,2.0,4.0,Coffee A
bl4QJo,25-34 years old,Male,Medium,4.0,3.0,3.0,5.0,Coffee D
42NV6b,25-34 years old,Female,Medium,4.0,1.0,3.0,3.0,Coffee A
aBrqJv,25-34 years old,Male,Light,5.0,4.0,3.0,2.0,Coffee A
OABMM7,35-44 years old,Male,Light,3.0,1.0,3.0,4.0,Coffee D
42NVMb,35-44 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
WApVaj,35-44 years old,Male,Light,3.0,3.0,1.0,4.0,Coffee D
RzByQ9,25-34 years old,Female,Light,4.0,2.0,3.0,5.0,Coffee D
OABMM8,35-44 years old,Non-binary,Light,3.0,1.0,4.0,5.0,Coffee D
42NVlk,18-24 years old,Male,Medium,2.0,3.0,4.0,5.0,Coffee D
XeBP6j,25-34 years old,Male,Medium,5.0,3.0,2.0,5.0,Coffee C
WApVLJ,18-24 years old,,Dark,2.0,3.0,5.0,,Coffee C
eBxWWO,25-34 years old,Male,Medium,1.0,2.0,3.0,5.0,Coffee D
PABJqb,25-34 years old,Male,Medium,2.0,3.0,4.0,2.0,Coffee C
6dQEBB,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
GrBAEp,25-34 years old,Male,Light,3.0,2.0,4.0,5.0,Coffee D
xdN5qo,35-44 years old,Male,Medium,5.0,4.0,3.0,3.0,Coffee A
g5N6VO,25-34 years old,Male,Light,4.0,2.0,2.0,5.0,Coffee D
eBxWXO,35-44 years old,Male,Light,4.0,5.0,3.0,3.0,Coffee B
KMBKj7,35-44 years old,Male,Medium,3.0,5.0,4.0,3.0,Coffee B
5dqP06,25-34 years old,Female,Medium,1.0,3.0,4.0,2.0,Coffee C
zKQ58a,25-34 years old,Male,Medium,4.0,3.0,1.0,5.0,Coffee D
EPb7RN,35-44 years old,Male,Nordic,4.0,2.0,3.0,1.0,Coffee A
DVv685,25-34 years old,Non-binary,Light,3.0,2.0,3.0,4.0,Coffee D
RzByed,25-34 years old,Male,Light,4.0,2.0,3.0,4.0,Coffee D
oAVLjV,25-34 years old,Non-binary,Light,4.0,1.0,3.0,5.0,Coffee D
dY2ery,25-34 years old,Male,Medium,3.0,3.0,2.0,4.0,Coffee D
pLPp2b,55-64 years old,Female,Medium,4.0,5.0,4.0,3.0,Coffee B
QABlN8,35-44 years old,Male,Light,3.0,2.0,1.0,5.0,Coffee C
GrBAZj,25-34 years old,Male,Medium,1.0,3.0,4.0,3.0,Coffee C
YZzl75,45-54 years old,Female,Medium,4.0,3.0,4.0,5.0,Coffee B
ylq58B,25-34 years old,Male,Dark,4.0,4.0,2.0,2.0,Coffee B
ylq5AB,25-34 years old,Male,Medium,1.0,4.0,5.0,2.0,Coffee C
AlbeR0,25-34 years old,Male,Light,4.0,3.0,3.0,5.0,Coffee D
dY2eoo,45-54 years old,Male,Light,3.0,2.0,1.0,5.0,Coffee B
YZzlAd,25-34 years old,Male,Dark,1.0,4.0,5.0,2.0,Coffee C
NAB1NB,25-34 years old,Male,Light,3.0,2.0,1.0,5.0,Coffee D
aBrqR9,25-34 years old,Male,Medium,3.0,4.0,4.0,1.0,Coffee B
LdMLr1,25-34 years old,Non-binary,Light,5.0,3.0,1.0,4.0,Coffee C
zKQ5k1,25-34 years old,Male,Light,5.0,2.0,3.0,4.0,Coffee A
42NVbO,25-34 years old,Female,Medium,4.0,5.0,4.0,1.0,Coffee B
oAVLJ1,25-34 years old,Female,Light,4.0,3.0,3.0,4.0,Coffee D
jB9AN6,18-24 years old,Male,Light,5.0,2.0,2.0,4.0,Coffee A
qbE1l7,25-34 years old,Female,Light,4.0,3.0,2.0,5.0,Coffee D
42NV0X,>65 years old,Male,Dark,3.0,4.0,3.0,1.0,Coffee B
7d9rrA,25-34 years old,Female,Medium,2.0,4.0,5.0,3.0,Coffee C
5dqPNM,45-54 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
ZdRrbz,25-34 years old,Male,Medium,1.0,3.0,4.0,5.0,Coffee D
vNx5RA,35-44 years old,Male,Dark,3.0,3.0,4.0,1.0,Coffee C
0EjRqN,18-24 years old,Female,Dark,3.0,5.0,4.0,2.0,Coffee B
vNx59Q,25-34 years old,Male,Medium,4.0,3.0,5.0,3.0,Coffee C
EPb72o,18-24 years old,Non-binary,Light,2.0,2.0,1.0,4.0,Coffee D
dY2eJq,25-34 years old,Male,Medium,4.0,4.0,2.0,5.0,Coffee D
g5N6od,55-64 years old,,Medium,2.0,4.0,5.0,2.0,Coffee C
PABJxb,25-34 years old,Non-binary,Light,3.0,4.0,5.0,1.0,Coffee C
6dQEEB,25-34 years old,Male,Light,4.0,3.0,4.0,5.0,Coffee D
6dQE6P,18-24 years old,Male,Medium,3.0,4.0,3.0,1.0,Coffee B
pLPpYq,25-34 years old,Male,Light,2.0,3.0,4.0,5.0,Coffee D
RzByyJ,>65 years old,Female,Nordic,3.0,1.0,1.0,3.0,Coffee D
XeBP7g,55-64 years old,Male,Dark,3.0,3.0,4.0,2.0,Coffee C
rlrM8l,25-34 years old,Female,Medium,5.0,2.0,4.0,2.0,Coffee A
RzByqd,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
9dJjKY,25-34 years old,Male,Medium,3.0,4.0,1.0,5.0,Coffee D
RzByNl,25-34 years old,Female,Medium,1.0,3.0,5.0,4.0,Coffee C
VZ1O7J,45-54 years old,Female,Medium,4.0,3.0,2.0,5.0,Coffee D
vNx5kd,18-24 years old,Female,Medium,4.0,4.0,2.0,2.0,Coffee B
8dp4DO,45-54 years old,Male,Light,4.0,1.0,2.0,4.0,Coffee D
7d9rkA,25-34 years old,Female,Medium,3.0,5.0,2.0,4.0,Coffee B
GrBAAp,25-34 years old,Male,Light,3.0,4.0,4.0,2.0,Coffee B
rlrMQN,25-34 years old,Male,Medium,1.0,4.0,5.0,2.0,Coffee C
GrBAW2,18-24 years old,Female,Dark,3.0,2.0,4.0,3.0,Coffee C
6dQEqe,25-34 years old,Male,Light,5.0,4.0,3.0,5.0,Coffee D
RzBypp,25-34 years old,Male,Medium,4.0,3.0,2.0,5.0,Coffee D
zKQ5AR,35-44 years old,Male,Light,4.0,4.0,3.0,2.0,Coffee B
eBxWg0,25-34 years old,Male,Light,3.0,2.0,4.0,5.0,Coffee D
jB9AAx,25-34 years old,Male,Light,5.0,4.0,3.0,1.0,Coffee A
oAVLLV,25-34 years old,Male,Light,5.0,3.0,4.0,2.0,Coffee A
YZzl6d,35-44 years old,Male,Light,5.0,4.0,4.0,4.0,Coffee A
g5N6EN,25-34 years old,Male,Medium,5.0,4.0,3.0,1.0,Coffee A
xdN5AG,25-34 years old,Male,Medium,4.0,3.0,2.0,5.0,Coffee D
lNlkp5,35-44 years old,,Medium,2.0,2.0,4.0,3.0,Coffee C
ZdRrBy,25-34 years old,Male,Light,5.0,2.0,2.0,4.0,Coffee A
YZzl2q,25-34 years old,Male,Light,5.0,4.0,1.0,5.0,Coffee D
rlrM75,25-34 years old,Male,Light,5.0,1.0,2.0,3.0,Coffee A
zKQ5Ba,35-44 years old,Female,Light,1.0,4.0,3.0,1.0,Coffee B
0EjRX0,25-34 years old,Female,Light,5.0,1.0,2.0,4.0,Coffee A
VZ1OgE,25-34 years old,Male,Medium,4.0,2.0,5.0,3.0,Coffee C
9dJjjY,25-34 years old,Male,Light,5.0,3.0,2.0,5.0,Coffee A
J2kvE4,25-34 years old,Male,French,2.0,3.0,3.0,1.0,Coffee C
rlrM4M,35-44 years old,Male,Dark,1.0,3.0,3.0,3.0,Coffee B
1r2oLM,55-64 years old,,Medium,5.0,3.0,3.0,3.0,Coffee A
8dp4Bx,25-34 years old,Female,Medium,2.0,4.0,3.0,5.0,Coffee D
jB9A4a,18-24 years old,Male,Light,4.0,2.0,1.0,4.0,Coffee A
42NVVO,45-54 years old,Male,Light,4.0,1.0,3.0,5.0,Coffee D
bl4QRg,25-34 years old,Male,Medium,5.0,3.0,3.0,4.0,Coffee A
pLPpqq,35-44 years old,Male,Light,5.0,2.0,3.0,4.0,Coffee B
AlbeXk,35-44 years old,,Dark,2.0,5.0,5.0,2.0,Coffee C
42NV6O,45-54 years old,Male,Light,4.0,2.0,2.0,5.0,Coffee B
GrBAM2,45-54 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
LdML4j,25-34 years old,Male,Medium,4.0,3.0,5.0,4.0,Coffee C
42NVeB,35-44 years old,Male,Light,4.0,3.0,4.0,4.0,Coffee D
QABllp,35-44 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
RzByNJ,25-34 years old,Male,Light,4.0,3.0,4.0,5.0,Coffee D
oAVLP1,35-44 years old,Male,Light,5.0,2.0,4.0,5.0,Coffee D
